psraid,sex,lifeq,snsuse,age,educ,race,inc,hisp
100966,1,3, ,65,6,1,9,2
100972,1,2, ,78,6,1,99,2
100977,2,3, ,37,1,2,1,1
100979,1,1, ,82,3,1,2,2
100981,2,4, ,55,1,1,1,1
100983,2,4, ,55,6,1,3,2
100986,2,4,1,56,7,1,7,2
100991,2,3, ,64,6,3,7,2
100993,2,2, ,40,3,1,2,2
101002,1,1,1,60,6,1,9,2
101004,2,2,1,66,6,1,9,2
101006,1,4, ,35,3,1,3,2
101011,1,3, ,50,6,1,7,2
101012,1,3, ,68,3,2,5,2
101017,2,3, ,43,3,1,4,2
101020,2,3,1,63,7,1,5,2
101025,1,5, ,61,3,1,3,2
101027,2,3, ,60,6,2,5,2
101031,1,3,1,54,7,1,9,2
101035,1,1,88,18,3,2,98,2
101036,1,3,1,60,7,1,2,2
101043,1,3, ,67,2,1,2,2
101051,2,9, ,99,7,9,99,9
101053,1,4, ,46,5,6,6,1
101059,1,4,98,52,6,1,7,2
101067,1,3, ,55,3,1,7,2
101070,1,3, ,74,6,1,3,2
101071,2,4, ,87,5,1,2,2
101075,2,2,1,44,5,1,8,2
101080,1,4, ,37,2,1,1,2
101081,2,3, ,84,3,1,1,2
101082,1,1, ,77,3,2,6,2
101083,2,3, ,75,3,1,99,2
101089,2,4, ,40,3,1,6,2
101093,1,5, ,99,1,1,1,2
101094,1,1, ,30,6,1,7,2
101095,2,2, ,58,7,1,8,2
101099,1,3, ,75,3,1,3,2
101103,2,1, ,80,3,1,99,2
101107,1,4,1,46,3,2,2,2
101108,2,1,1,99,9,1,98,9
101109,2,2, ,92,1,1,1,2
101112,1,4, ,63,6,1,6,2
101113,2,4, ,84,3,1,2,2
101116,2,2, ,75,3,1,99,2
101121,1,3, ,99,5,9,99,9
101125,1,3, ,40,3,1,2,2
101131,1,2, ,71,6,1,6,2
101134,2,3, ,65,6,1,98,2
101136,2,2,1,63,7,1,98,2
101139,2,4, ,73,3,1,2,2
101140,2,5, ,68,2,2,2,2
101141,2,3, ,99,2,1,4,2
101142,1,3, ,79,3,1,99,2
101146,2,3, ,71,3,1,4,2
101152,2,3, ,81,3,1,99,2
101160,2,1,1,49,3,1,2,2
101163,2,2, ,52,3,1,7,2
101164,2,2,1,33,5,1,5,2
101166,1,3, ,77,3,1,2,2
101168,1,3, ,78,3,1,2,2
101172,2,2, ,74,5,1,5,2
101173,2,1, ,70,5,1,4,2
101174,2,2, ,45,6,2,8,2
101177,1,3, ,22,3,2,99,2
101178,1,3,1,52,6,1,8,2
101180,1,2,1,21,3,1,99,2
101181,2,1, ,74,6,1,9,2
101184,1,5, ,51,3,1,4,2
101188,2,1,1,70,7,1,99,2
101191,2,3,1,37,6,1,6,2
101192,2,2, ,60,5,1,7,2
101201,2,2, ,66,5,1,3,2
101204,2,2, ,42,6,1,7,2
101208,1,4, ,51,5,1,2,2
101218,1,2,1,66,7,1,7,2
101223,2,2, ,43,1,1,2,1
101224,2,2,1,60,5,1,6,2
101225,1,2,11,53,5,1,6,1
101233,1,3, ,40,3,2,3,2
101234,1,5, ,47,2,1,99,2
101235,1,3,1,37,3,1,6,2
101243,2,3, ,99,3,1,7,2
101253,1,2, ,64,3,1,99,2
101259,2,1, ,63,5,1,7,2
101264,2,2,98,78,6,1,7,2
101271,2,3,1,88,5,1,2,2
101272,2,4, ,80,7,2,99,2
101274,1,3,1,56,7,2,99,2
101275,2,4,1,58,4,2,2,2
101276,2,3, ,70,2,1,3,2
